zone_id,latitude,longitude,district,population_density,daily_demand_packages,priority_delivery_percent,time_window_start,time_window_end,delivery_difficulty,weekend_demand_factor
Z001,40.7129,-73.9958,Downtown,21500,350,42,8,20,0.65,1.2
Z002,40.7145,-73.9980,Downtown,20800,325,38,9,21,0.70,1.3
Z003,40.7168,-73.9945,Downtown,19500,310,45,8,22,0.68,1.4
Z004,40.7072,-73.9882,East Side,17200,280,32,9,20,0.55,1.1
Z005,40.7092,-73.9848,East Side,18100,295,30,10,19,0.52,1.0
Z006,40.7198,-73.9825,East Side,16800,270,28,9,18,0.57,1.1
Z007,40.7213,-73.9980,West Side,15900,260,35,8,19,0.62,1.2
Z008,40.7252,-73.9945,West Side,16500,275,40,9,20,0.60,1.2
Z009,40.7183,-74.0000,West Side,14800,240,36,10,18,0.63,1.1
Z010,40.7093,-74.0015,South District,19200,305,25,8,17,0.48,0.9
Z011,40.7042,-73.9980,South District,18500,290,22,9,18,0.45,0.8
Z012,40.7067,-74.0000,South District,17900,285,26,10,19,0.47,0.9
Z013,40.7303,-73.9848,North District,16200,265,34,9,20,0.58,1.0
Z014,40.7342,-73.9878,North District,15500,250,38,8,21,0.65,1.1
Z015,40.7283,-73.9818,North District,14900,245,32,9,19,0.59,1.0
Z016,40.7202,-73.9757,East Side,17800,285,29,8,18,0.54,1.0
Z017,40.7153,-74.0000,West Side,16100,265,33,9,19,0.61,1.1
Z018,40.7022,-73.9798,South District,18900,300,24,10,17,0.46,0.9
Z019,40.7383,-73.9900,North District,15600,255,36,9,20,0.64,1.0
Z020,40.7223,-74.0005,Central,19800,315,42,8,21,0.66,1.3
Z021,40.7113,-73.9777,East Side,17500,280,31,9,19,0.56,1.0
Z022,40.7333,-73.9950,North District,15800,260,35,8,20,0.62,1.1
Z023,40.7033,-74.0000,South District,18700,295,23,9,17,0.47,0.8
Z024,40.7263,-73.9995,West Side,16300,270,34,10,19,0.60,1.1
Z025,40.7172,-73.9888,Central,19300,310,40,8,20,0.67,1.2
Z026,40.7192,-73.9965,Central,19600,315,39,9,21,0.65,1.3
Z027,40.7087,-73.9835,East Side,17600,285,29,10,19,0.55,1.0
Z028,40.7242,-74.0025,West Side,16200,270,32,8,18,0.61,1.1
Z029,40.7048,-73.9983,South District,18400,295,25,9,17,0.48,0.9
Z030,40.7316,-73.9895,North District,15400,255,37,10,20,0.63,1.0
