location_id,latitude,longitude,district,building_type,available_area_sqm,max_capacity_packages,setup_cost,monthly_lease,utility_cost,suitability_score,zoning_restriction
L001,40.7128,-73.9960,Downtown,Warehouse,850,5000,480000,12500,3500,0.92,Low
L002,40.7148,-73.9980,Downtown,Retail Space,420,2500,320000,18000,2800,0.85,Moderate
L003,40.7165,-73.9945,Downtown,Mixed-Use,650,3800,410000,15000,3200,0.88,Moderate
L004,40.7070,-73.9885,East Side,Warehouse,1200,7000,520000,11000,4100,0.91,Low
L005,40.7090,-73.9850,East Side,Industrial,980,6000,490000,10500,3900,0.87,Low
L006,40.7195,-73.9828,East Side,Retail Space,350,2100,290000,16800,2500,0.83,High
L007,40.7210,-73.9980,West Side,Warehouse,720,4500,430000,12800,3400,0.86,Moderate
L008,40.7250,-73.9945,West Side,Industrial,1050,6200,510000,11200,4000,0.89,Low
L009,40.7180,-74.0000,West Side,Office Space,400,2300,350000,17500,2700,0.82,High
L010,40.7090,-74.0015,South District,Warehouse,1350,7800,550000,10800,4300,0.93,Low
L011,40.7040,-73.9980,South District,Industrial,1100,6500,525000,11000,4100,0.90,Low
L012,40.7065,-74.0000,South District,Mixed-Use,580,3400,380000,14200,3000,0.84,Moderate
L013,40.7300,-73.9848,North District,Warehouse,920,5500,470000,12000,3600,0.88,Low
L014,40.7340,-73.9878,North District,Retail Space,380,2200,310000,17000,2600,0.81,High
L015,40.7280,-73.9820,North District,Mixed-Use,620,3600,400000,14500,3100,0.85,Moderate
L016,40.7200,-73.9757,East Side,Industrial,1000,6000,500000,11500,3900,0.89,Low
L017,40.7150,-74.0000,West Side,Warehouse,780,4800,450000,12300,3500,0.87,Moderate
L018,40.7020,-73.9798,South District,Office Space,420,2400,360000,17200,2800,0.80,High
L019,40.7380,-73.9900,North District,Warehouse,1250,7200,530000,10900,4200,0.92,Low
L020,40.7220,-74.0005,Central,Mixed-Use,600,3500,395000,14800,3100,0.86,Moderate
L021,40.7110,-73.9777,East Side,Retail Space,330,2000,285000,16500,2400,0.82,High
L022,40.7330,-73.9950,North District,Industrial,950,5700,485000,11800,3800,0.88,Low
L023,40.7030,-74.0040,South District,Warehouse,1150,6800,540000,11000,4200,0.91,Low
L024,40.7260,-73.9995,West Side,Mixed-Use,550,3200,370000,14000,2900,0.84,Moderate
L025,40.7170,-73.9888,Central,Office Space,370,2100,320000,17800,2600,0.79,High
