origin,destination,distance_km,travel_time_mins,congestion_factor,emission_factor,toll_cost,time_reliability
L001,Z001,0.02,1,1.1,1.0,0.0,0.97
L001,Z002,0.29,2,1.1,1.0,0.0,0.97
L001,Z003,0.44,3,1.1,1.0,0.0,0.96
L001,Z004,0.90,6,1.2,1.0,0.0,0.95
L001,Z005,1.27,8,1.2,1.1,0.0,0.94
L001,Z006,0.98,7,1.2,1.0,0.0,0.95
L001,Z007,0.93,6,1.2,1.0,0.0,0.95
L001,Z008,1.37,9,1.2,1.1,0.0,0.93
L001,Z009,0.60,4,1.2,1.0,0.0,0.96
L001,Z010,0.59,4,1.2,1.0,0.0,0.96
L002,Z001,0.25,2,1.1,1.0,0.0,0.97
L002,Z002,0.04,1,1.1,1.0,0.0,0.97
L002,Z003,0.37,3,1.1,1.0,0.0,0.96
L002,Z004,1.13,7,1.2,1.1,0.0,0.94
L002,Z005,1.50,9,1.3,1.1,0.0,0.93
L002,Z006,0.93,6,1.2,1.0,0.0,0.95
L002,Z007,0.69,5,1.2,1.0,0.0,0.96
L002,Z008,1.14,7,1.2,1.1,0.0,0.94
L002,Z009,0.36,3,1.1,1.0,0.0,0.96
L002,Z010,0.82,5,1.2,1.0,0.0,0.95
L003,Z001,0.40,3,1.1,1.0,0.0,0.96
L003,Z002,0.34,2,1.1,1.0,0.0,0.97
L003,Z003,0.04,1,1.1,1.0,0.0,0.97
L003,Z004,1.25,8,1.2,1.1,0.0,0.94
L003,Z005,1.61,10,1.3,1.1,0.0,0.92
L003,Z006,0.76,5,1.2,1.0,0.0,0.95
L003,Z007,0.52,4,1.2,1.0,0.0,0.96
L003,Z008,0.96,6,1.2,1.0,0.0,0.95
L003,Z009,0.52,4,1.2,1.0,0.0,0.96
L003,Z010,0.97,6,1.2,1.0,0.0,0.95
L004,Z001,0.89,6,1.2,1.0,0.0,0.95
L004,Z002,1.12,7,1.2,1.1,0.0,0.94
L004,Z003,1.24,8,1.2,1.1,0.0,0.94
L004,Z004,0.20,1,1.1,1.0,0.0,0.97
L004,Z005,0.49,3,1.1,1.0,0.0,0.96
L004,Z006,1.38,9,1.2,1.1,0.0,0.93
L004,Z007,1.60,10,1.3,1.1,0.0,0.92
L004,Z008,2.03,12,1.3,1.1,0.0,0.90
L004,Z009,1.40,9,1.2,1.1,0.0,0.93
L004,Z010,1.35,9,1.2,1.1,0.0,0.93
L005,Z001,1.17,8,1.2,1.1,0.0,0.94
L005,Z002,1.40,9,1.2,1.1,0.0,0.93
L005,Z003,1.51,10,1.3,1.1,0.0,0.92
L005,Z004,0.43,3,1.1,1.0,0.0,0.96
L005,Z005,0.04,1,1.1,1.0,0.0,0.97
L005,Z006,1.17,8,1.2,1.1,0.0,0.94
L005,Z007,1.46,9,1.2,1.1,0.0,0.93
L005,Z008,1.90,11,1.3,1.1,0.0,0.91
L005,Z009,1.68,10,1.3,1.1,0.0,0.92
L005,Z010,1.63,10,1.3,1.1,0.0,0.92
